prod,busload,desired load,cost1,cost2
7815.815815815817,1955.1529154664986,1300,655.1529154664986,6515.815815815817
7831.8318318318325,1953.6455908050239,1300,653.6455908050239,6531.831831831833
7847.847847847848,1952.126216530246,1300,652.126216530246,6547.847847847848
7863.863863863865,1950.5948213106021,1300,650.5948213106021,6563.863863863865
7879.879879879881,1949.0514336988554,1300,649.0514336988554,6579.879879879881
7895.8958958958965,1947.496082133256,1300,647.4960821332561,6595.8958958958965
7911.911911911912,1945.9287949376858,1300,645.9287949376858,6611.911911911912
7927.927927927929,1944.3496003227383,1300,644.3496003227383,6627.92792792793
7943.943943943945,1942.758526386001,1300,642.758526386001,6643.943943943945
7959.9599599599605,1941.1556011129678,1300,641.1556011129678,6659.9599599599605
7975.975975975976,1939.540852377405,1300,639.5408523774049,6675.975975975976
7991.991991991993,1937.9143079422074,1300,637.9143079422074,6691.991991991993
8008.008008008009,1936.2759954600224,1300,636.2759954600224,6708.008008008009
8024.024024024025,1934.6259424735308,1300,634.6259424735308,6724.024024024025
8040.04004004004,1932.9641764165044,1300,632.9641764165044,6740.04004004004
8056.056056056057,1931.2907246141722,1300,631.2907246141722,6756.056056056057
8072.072072072073,1929.6056142837015,1300,629.6056142837015,6772.072072072073
8088.088088088089,1927.9088725350557,1300,627.9088725350557,6788.088088088089
8104.104104104104,1926.2005263715591,1300,626.2005263715591,6804.104104104104
8120.120120120121,1924.4806026901533,1300,624.4806026901533,6820.120120120122
8136.136136136137,1922.7491282823903,1300,622.7491282823903,6836.136136136138
8152.152152152153,1921.006129834922,1300,621.0061298349219,6852.152152152154
8168.168168168168,1919.2516339297754,1300,619.2516339297754,6868.168168168168
8184.184184184185,1917.485667045582,1300,617.485667045582,6884.184184184184
8200.200200200201,1915.7082555570923,1300,615.7082555570923,6900.200200200203
8216.216216216217,1913.9194257369354,1300,613.9194257369354,6916.216216216217
8232.232232232232,1912.1192037551964,1300,612.1192037551964,6932.2322322322325
8248.248248248248,1910.3076156806364,1300,610.3076156806364,6948.248248248248
8264.264264264266,1908.484687481092,1300,608.4846874810919,6964.264264264266
8280.280280280282,1906.6504450234734,1300,606.6504450234734,6980.280280280282
8296.296296296297,1904.8049140752428,1300,604.8049140752428,6996.296296296297
8312.312312312313,1902.9481203043015,1300,602.9481203043015,7012.312312312313
8328.328328328329,1901.080089279475,1300,601.080089279475,7028.328328328329
8344.344344344345,1899.2008464716437,1300,599.2008464716437,7044.344344344345
8360.36036036036,1897.3104172537205,1300,597.3104172537205,7060.360360360361
8376.376376376376,1895.4088269013027,1300,595.4088269013027,7076.376376376376
8392.392392392394,1893.4961005932673,1300,593.4961005932673,7092.392392392394
8408.40840840841,1891.572263412343,1300,591.5722634123431,7108.408408408412
8424.424424424426,1889.6373403456155,1300,589.6373403456155,7124.4244244244255
8440.440440440441,1887.6913562846485,1300,587.6913562846485,7140.440440440441
8456.456456456457,1885.7343360267578,1300,585.7343360267578,7156.456456456457
8472.472472472473,1883.76630427473,1300,583.7663042747299,7172.472472472473
8488.488488488489,1881.7872856379272,1300,581.7872856379272,7188.488488488489
8504.504504504504,1879.7973046323195,1300,579.7973046323195,7204.504504504504
8520.520520520522,1877.7963856813076,1300,577.7963856813076,7220.520520520522
8536.536536536538,1875.7845531159492,1300,575.7845531159492,7236.536536536538
8552.552552552554,1873.7618311758415,1300,573.7618311758415,7252.552552552554
8568.56856856857,1871.7282440091767,1300,571.7282440091767,7268.568568568569
8584.584584584585,1869.6838156734257,1300,569.6838156734257,7284.584584584585
8600.600600600601,1867.6285701357647,1300,567.6285701357647,7300.600600600601
8616.616616616617,1865.5625312736393,1300,565.5625312736393,7316.616616616617
8632.632632632633,1863.485722875168,1300,563.485722875168,7332.632632632634
8648.64864864865,1861.3981686395673,1300,561.3981686395673,7348.64864864865
8664.664664664666,1859.2998921776316,1300,559.2998921776316,7364.664664664666
8680.680680680682,1857.1909170125027,1300,557.1909170125027,7380.680680680682
8696.696696696697,1855.0712665795,1300,555.0712665794999,7396.6966966966975
8712.712712712713,1852.9409642270311,1300,552.9409642270311,7412.712712712713
8728.728728728729,1850.8000332170122,1300,550.8000332170122,7428.728728728729
8744.744744744745,1848.6484967252463,1300,548.6484967252463,7444.744744744745
8760.760760760762,1846.486377841842,1300,546.4863778418421,7460.760760760762
8776.776776776778,1844.3136995717568,1300,544.3136995717568,7476.776776776778
8792.792792792794,1842.130484834911,1300,542.1304848349109,7492.792792792794
8808.80880880881,1839.9367564672675,1300,539.9367564672675,7508.80880880881
8824.824824824826,1837.7325372206597,1300,537.7325372206597,7524.824824824826
8840.840840840841,1835.517849763335,1300,535.5178497633351,7540.840840840843
8856.856856856857,1833.2927166808304,1300,533.2927166808304,7556.856856856857
8872.872872872873,1831.0571604757797,1300,531.0571604757797,7572.872872872873
8888.88888888889,1828.8112035686763,1300,528.8112035686763,7588.8888888888905
8904.904904904906,1826.5548682982735,1300,526.5548682982735,7604.904904904906
8920.920920920922,1824.2881769220676,1300,524.2881769220676,7620.920920920922
8936.936936936938,1822.0111516163797,1300,522.0111516163797,7636.936936936938
8952.952952952954,1819.7238144773,1300,519.7238144773,7652.952952952954
8968.96896896897,1817.4261875203401,1300,517.4261875203401,7668.968968968969
8984.984984984985,1815.1182926819447,1300,515.1182926819447,7684.984984984985
9001.001001001001,1812.8001518186356,1300,512.8001518186356,7701.001001001001
9017.017017017019,1810.4717867082345,1300,510.4717867082345,7717.017017017019
9033.033033033034,1808.1332190504327,1300,508.1332190504327,7733.033033033034
9049.04904904905,1805.7844704661366,1300,505.78447046613655,7749.049049049052
9065.065065065066,1803.4255624990865,1300,503.4255624990865,7765.065065065066
9081.081081081082,1801.0565166154038,1300,501.0565166154038,7781.081081081082
9097.097097097098,1798.6773542043866,1300,498.6773542043866,7797.0970970970975
9113.113113113113,1796.288096578678,1300,496.28809657867805,7813.113113113113
9129.129129129129,1793.8887649749804,1300,493.8887649749804,7829.129129129129
9145.145145145147,1791.479380553994,1300,491.4793805539939,7845.145145145147
9161.161161161162,1789.05996440102,1300,489.0599644010199,7861.161161161162
9177.177177177178,1786.6305375264628,1300,486.63053752646283,7877.177177177178
9193.193193193194,1784.1911208658985,1300,484.1911208658985,7893.193193193194
9209.20920920921,1781.7417352807752,1300,481.7417352807752,7909.20920920921
9225.225225225226,1779.2824015587312,1300,479.2824015587312,7925.225225225226
9241.241241241241,1776.8131404134238,1300,476.81314041342375,7941.241241241241
9257.257257257259,1774.3339724856642,1300,474.33397248566416,7957.257257257261
9273.273273273275,1771.844918343504,1300,471.8449183435041,7973.273273273277
9289.28928928929,1769.3459984823503,1300,469.3459984823503,7989.2892892892905
9305.305305305306,1766.837233325532,1300,466.837233325532,8005.305305305306
9321.321321321322,1764.3186432245557,1300,464.3186432245557,8021.321321321322
9337.337337337338,1761.7902484598744,1300,461.7902484598744,8037.337337337338
9353.353353353354,1759.2520692405178,1300,459.2520692405178,8053.353353353354
9369.36936936937,1756.7041257049423,1300,456.70412570494227,8069.369369369369
9385.385385385387,1754.1464379213212,1300,454.1464379213212,8085.385385385387
9401.401401401403,1751.579025887736,1300,451.57902588773595,8101.401401401403
9417.417417417419,1749.0019095327225,1300,449.0019095327225,8117.417417417419
9433.433433433434,1746.4151087153823,1300,446.4151087153823,8133.433433433434
9449.44944944945,1743.8186432258935,1300,443.81864322589354,8149.44944944945
9465.465465465466,1741.2125327857948,1300,441.2125327857948,8165.465465465466
9481.481481481482,1738.5967970480751,1300,438.59679704807513,8181.481481481484
9497.497497497498,1735.9714555982464,1300,435.9714555982464,8197.497497497498
9513.513513513515,1733.336527953753,1300,433.3365279537529,8213.513513513515
9529.529529529531,1730.6920335647646,1300,430.69203356476464,8229.529529529531
9545.545545545547,1728.0379918144608,1300,428.03799181446084,8245.545545545547
9561.561561561562,1725.3744220195695,1300,425.37442201956947,8261.561561561562
9577.577577577578,1722.7013434302307,1300,422.70134343023074,8277.577577577578
9593.593593593594,1720.0187752305847,1300,420.01877523058465,8293.593593593594
9609.60960960961,1717.3267365391212,1300,417.32673653912116,8309.60960960961
9625.625625625626,1714.6252464088147,1300,414.62524640881475,8325.625625625626
9641.641641641643,1711.9143238276138,1300,411.91432382761377,8341.641641641643
9657.657657657659,1709.193987718777,1300,409.19398771877695,8357.657657657659
9673.673673673675,1706.4642569409898,1300,406.4642569409898,8373.673673673675
9689.68968968969,1703.7251502887048,1300,403.72515028870475,8389.689689689692
9705.705705705706,1700.9766864927087,1300,400.9766864927087,8405.705705705706
9721.721721721722,1698.2188842202395,1300,398.2188842202395,8421.721721721722
9737.737737737738,1695.451762074953,1300,395.45176207495297,8437.737737737738
9753.753753753756,1692.6753385979791,1300,392.67533859797913,8453.753753753756
9769.769769769771,1689.8896322674946,1300,389.88963226749456,8469.769769769771
9785.785785785787,1687.0946614995146,1300,387.0946614995146,8485.785785785787
9801.801801801803,1684.2904446480134,1300,384.29044464801336,8501.801801801803
9817.817817817819,1681.4770000048893,1300,381.4770000048893,8517.817817817819
9833.833833833834,1678.65434580105,1300,378.6543458010501,8533.833833833834
9849.84984984985,1675.822500205726,1300,375.8225002057261,8549.84984984985
9865.865865865866,1672.981481327639,1300,372.9814813276389,8565.865865865866
9881.881881881884,1670.1313072146895,1300,370.1313072146895,8581.881881881884
9897.8978978979,1667.271995854464,1300,367.27199585446397,8597.897897897901
9913.913913913915,1664.403565174609,1300,364.40356517460896,8613.913913913915
9929.929929929931,1661.5260330429755,1300,361.52603304297554,8629.929929929931
9945.945945945947,1658.639417267921,1300,358.6394172679211,8645.945945945947
9961.961961961963,1655.7437355984348,1300,355.7437355984348,8661.961961961963
9977.977977977978,1652.8390057248998,1300,352.83900572489983,8677.977977977978
9993.993993993994,1649.9252452787805,1300,349.9252452787805,8693.993993993994
10010.010010010012,1647.0024718333316,1300,347.0024718333316,8710.010010010012
10026.026026026027,1644.070702903491,1300,344.0707029034911,8726.026026026027
10042.042042042043,1641.129955946497,1300,341.1299559464969,8742.042042042043
10058.058058058059,1638.180248362005,1300,338.18024836200493,8758.058058058059
10074.074074074075,1635.2215974924038,1300,335.2215974924038,8774.074074074075
10090.09009009009,1632.2540206229805,1300,332.25402062298053,8790.09009009009
10106.106106106106,1629.2775349821804,1300,329.27753498218044,8806.106106106106
10122.122122122122,1626.2921577420293,1300,326.2921577420293,8822.122122122124
10138.13813813814,1623.297906018166,1300,323.29790601816603,8838.13813813814
10154.154154154156,1620.2947968704957,1300,320.2947968704957,8854.154154154156
10170.170170170171,1617.2828473028458,1300,317.28284730284577,8870.170170170171
10186.186186186187,1614.2620742637628,1300,314.26207426376277,8886.186186186187
10202.202202202203,1611.2324946464869,1300,311.2324946464869,8902.202202202203
10218.218218218219,1608.1941252892866,1300,308.1941252892866,8918.218218218219
10234.234234234234,1605.1469829757261,1300,305.14698297572613,8934.234234234234
10250.25025025025,1602.0910844348473,1300,302.0910844348473,8950.25025025025
10266.266266266268,1599.0264463414114,1300,299.02644634141143,8966.266266266268
10282.282282282284,1595.9530853163524,1300,295.9530853163524,8982.282282282284
10298.2982982983,1592.8710179267964,1300,292.8710179267964,8998.2982982983
10314.314314314315,1589.7802606862115,1300,289.7802606862115,9014.314314314315
10330.330330330331,1586.6808300549728,1300,286.68083005497283,9030.330330330333
10346.346346346347,1583.572742440423,1300,283.5727424404231,9046.346346346347
10362.362362362363,1580.4560141970123,1300,280.45601419701234,9062.362362362363
10378.37837837838,1577.330661626831,1300,277.330661626831,9078.37837837838
10394.394394394396,1574.196700979599,1300,274.196700979599,9094.394394394396
10410.410410410412,1571.0541484529022,1300,271.05414845290215,9110.410410410412
10426.426426426427,1567.9030201923742,1300,267.90302019237424,9126.426426426427
10442.442442442443,1564.7433322924935,1300,264.7433322924935,9142.442442442443
10458.458458458459,1561.5751007958352,1300,261.57510079583517,9158.458458458459
10474.474474474475,1558.398341694272,1300,258.39834169427195,9174.474474474475
10490.49049049049,1555.2130709283174,1300,255.2130709283174,9190.49049049049
10506.506506506508,1552.019304388381,1300,252.019304388381,9206.506506506508
10522.522522522524,1548.8170579138223,1300,248.81705791382228,9222.522522522524
10538.53853853854,1545.6063472940968,1300,245.60634729409685,9238.538538538542
10554.554554554556,1542.38718826872,1300,242.3871882687199,9254.554554554557
10570.570570570571,1539.1595965270717,1300,239.1595965270717,9270.570570570571
10586.586586586587,1535.9235877092779,1300,235.92358770927785,9286.586586586587
10602.602602602603,1532.679177405982,1300,232.67917740598205,9302.602602602603
10618.618618618619,1529.4263811587716,1300,229.42638115877162,9318.618618618619
10634.634634634636,1526.1652144601503,1300,226.1652144601503,9334.634634634636
10650.650650650652,1522.8956927542476,1300,222.89569275424765,9350.650650650652
10666.666666666668,1519.617831436335,1300,219.6178314363351,9366.666666666668
10682.682682682684,1516.3316458536265,1300,216.33164585362647,9382.682682682684
